#           k/h    P           
    0.10000E-03    0.24302E+03
    0.10202E-03    0.24776E+03
    0.10408E-03    0.25259E+03
    0.10618E-03    0.25751E+03
    0.10833E-03    0.26253E+03
    0.11052E-03    0.26764E+03
    0.11275E-03    0.27286E+03
    0.11503E-03    0.27818E+03
    0.11735E-03    0.28360E+03
    0.11972E-03    0.28912E+03
    0.12214E-03    0.29475E+03
    0.12461E-03    0.30050E+03
    0.12712E-03    0.30635E+03
    0.12969E-03    0.31232E+03
    0.13231E-03    0.31841E+03
    0.13499E-03    0.32461E+03
    0.13771E-03    0.33093E+03
    0.14049E-03    0.33738E+03
    0.14333E-03    0.34395E+03
    0.14623E-03    0.35065E+03
    0.14918E-03    0.35748E+03
    0.15220E-03    0.36444E+03
    0.15527E-03    0.37154E+03
    0.15841E-03    0.37878E+03
    0.16161E-03    0.38615E+03
    0.16487E-03    0.39367E+03
    0.16820E-03    0.40134E+03
    0.17160E-03    0.40915E+03
    0.17507E-03    0.41712E+03
    0.17860E-03    0.42524E+03
    0.18221E-03    0.43352E+03
    0.18589E-03    0.44196E+03
    0.18965E-03    0.45056E+03
    0.19348E-03    0.45933E+03
    0.19739E-03    0.46827E+03
    0.20138E-03    0.47738E+03
    0.20544E-03    0.48667E+03
    0.20959E-03    0.49614E+03
    0.21383E-03    0.50580E+03
    0.21815E-03    0.51564E+03
    0.22255E-03    0.52567E+03
    0.22705E-03    0.53590E+03
    0.23164E-03    0.54632E+03
    0.23632E-03    0.55694E+03
    0.24109E-03    0.56777E+03
    0.24596E-03    0.57881E+03
    0.25093E-03    0.59007E+03
    0.25600E-03    0.60154E+03
    0.26117E-03    0.61323E+03
    0.26645E-03    0.62515E+03
    0.27183E-03    0.63730E+03
    0.27732E-03    0.64968E+03
    0.28292E-03    0.66230E+03
    0.28864E-03    0.67517E+03
    0.29447E-03    0.68828E+03
    0.30042E-03    0.70165E+03
    0.30649E-03    0.71527E+03
    0.31268E-03    0.72916E+03
    0.31899E-03    0.74331E+03
    0.32544E-03    0.75773E+03
    0.33201E-03    0.77244E+03
    0.33872E-03    0.78742E+03
    0.34556E-03    0.80269E+03
    0.35254E-03    0.81826E+03
    0.35966E-03    0.83412E+03
    0.36693E-03    0.85029E+03
    0.37434E-03    0.86676E+03
    0.38190E-03    0.88356E+03
    0.38962E-03    0.90067E+03
    0.39749E-03    0.91811E+03
    0.40552E-03    0.93588E+03
    0.41371E-03    0.95400E+03
    0.42207E-03    0.97245E+03
    0.43060E-03    0.99126E+03
    0.43929E-03    0.10104E+04
    0.44817E-03    0.10300E+04
    0.45722E-03    0.10499E+04
    0.46646E-03    0.10701E+04
    0.47588E-03    0.10908E+04
    0.48550E-03    0.11119E+04
    0.49530E-03    0.11333E+04
    0.50531E-03    0.11552E+04
    0.51552E-03    0.11775E+04
    0.52593E-03    0.12001E+04
    0.53656E-03    0.12233E+04
    0.54739E-03    0.12468E+04
    0.55845E-03    0.12708E+04
    0.56973E-03    0.12953E+04
    0.58124E-03    0.13202E+04
    0.59299E-03    0.13455E+04
    0.60496E-03    0.13714E+04
    0.61719E-03    0.13977E+04
    0.62965E-03    0.14245E+04
    0.64237E-03    0.14519E+04
    0.65535E-03    0.14797E+04
    0.66859E-03    0.15080E+04
    0.68210E-03    0.15369E+04
    0.69588E-03    0.15663E+04
    0.70993E-03    0.15962E+04
    0.72427E-03    0.16267E+04
    0.73891E-03    0.16578E+04
    0.75383E-03    0.16894E+04
    0.76906E-03    0.17216E+04
    0.78460E-03    0.17544E+04
    0.80045E-03    0.17878E+04
    0.81662E-03    0.18218E+04
    0.83311E-03    0.18564E+04
    0.84994E-03    0.18916E+04
    0.86711E-03    0.19275E+04
    0.88463E-03    0.19640E+04
    0.90250E-03    0.20012E+04
    0.92073E-03    0.20391E+04
    0.93933E-03    0.20776E+04
    0.95831E-03    0.21168E+04
    0.97767E-03    0.21567E+04
    0.99742E-03    0.21973E+04
    0.10176E-02    0.22387E+04
    0.10381E-02    0.22807E+04
    0.10591E-02    0.23235E+04
    0.10805E-02    0.23671E+04
    0.11023E-02    0.24114E+04
    0.11246E-02    0.24565E+04
    0.11473E-02    0.25024E+04
    0.11705E-02    0.25490E+04
    0.11941E-02    0.25965E+04
    0.12182E-02    0.26448E+04
    0.12429E-02    0.26939E+04
    0.12680E-02    0.27438E+04
    0.12936E-02    0.27946E+04
    0.13197E-02    0.28463E+04
    0.13464E-02    0.28988E+04
    0.13736E-02    0.29522E+04
    0.14013E-02    0.30065E+04
    0.14296E-02    0.30617E+04
    0.14585E-02    0.31178E+04
    0.14880E-02    0.31748E+04
    0.15180E-02    0.32328E+04
    0.15487E-02    0.32916E+04
    0.15800E-02    0.33515E+04
    0.16119E-02    0.34123E+04
    0.16445E-02    0.34741E+04
    0.16777E-02    0.35368E+04
    0.17116E-02    0.36005E+04
    0.17462E-02    0.36653E+04
    0.17814E-02    0.37310E+04
    0.18174E-02    0.37978E+04
    0.18541E-02    0.38656E+04
    0.18916E-02    0.39344E+04
    0.19298E-02    0.40043E+04
    0.19688E-02    0.40752E+04
    0.20086E-02    0.41471E+04
    0.20491E-02    0.42201E+04
    0.20905E-02    0.42942E+04
    0.21328E-02    0.43694E+04
    0.21758E-02    0.44456E+04
    0.22198E-02    0.45229E+04
    0.22646E-02    0.46014E+04
    0.23104E-02    0.46809E+04
    0.23571E-02    0.47615E+04
    0.24047E-02    0.48432E+04
    0.24533E-02    0.49260E+04
    0.25028E-02    0.50099E+04
    0.25534E-02    0.50949E+04
    0.26050E-02    0.51811E+04
    0.26576E-02    0.52683E+04
    0.27113E-02    0.53567E+04
    0.27660E-02    0.54461E+04
    0.28219E-02    0.55367E+04
    0.28789E-02    0.56284E+04
    0.29371E-02    0.57212E+04
    0.29964E-02    0.58151E+04
    0.30569E-02    0.59100E+04
    0.31187E-02    0.60061E+04
    0.31817E-02    0.61032E+04
    0.32460E-02    0.62015E+04
    0.33115E-02    0.63007E+04
    0.33784E-02    0.64011E+04
    0.34467E-02    0.65024E+04
    0.35163E-02    0.66049E+04
    0.35874E-02    0.67083E+04
    0.36598E-02    0.68128E+04
    0.37338E-02    0.69183E+04
    0.38092E-02    0.70248E+04
    0.38861E-02    0.71322E+04
    0.39646E-02    0.72404E+04
    0.40447E-02    0.73495E+04
    0.41264E-02    0.74595E+04
    0.42098E-02    0.75704E+04
    0.42948E-02    0.76823E+04
    0.43816E-02    0.77953E+04
    0.44701E-02    0.79095E+04
    0.45604E-02    0.80246E+04
    0.46525E-02    0.81401E+04
    0.47465E-02    0.82557E+04
    0.48424E-02    0.83709E+04
    0.49402E-02    0.84852E+04
    0.50400E-02    0.85990E+04
    0.51419E-02    0.87128E+04
    0.52457E-02    0.88272E+04
    0.53517E-02    0.89429E+04
    0.54598E-02    0.90602E+04
    0.55701E-02    0.91792E+04
    0.56826E-02    0.92993E+04
    0.57974E-02    0.94202E+04
    0.59145E-02    0.95413E+04
    0.60340E-02    0.96621E+04
    0.61559E-02    0.97827E+04
    0.62803E-02    0.99031E+04
    0.64072E-02    0.10023E+05
    0.65366E-02    0.10143E+05
    0.66686E-02    0.10264E+05
    0.68033E-02    0.10383E+05
    0.69408E-02    0.10503E+05
    0.70810E-02    0.10622E+05
    0.72240E-02    0.10741E+05
    0.73700E-02    0.10860E+05
    0.75189E-02    0.10977E+05
    0.76708E-02    0.11094E+05
    0.78257E-02    0.11210E+05
    0.79838E-02    0.11325E+05
    0.81451E-02    0.11439E+05
    0.83096E-02    0.11552E+05
    0.84775E-02    0.11664E+05
    0.86488E-02    0.11775E+05
    0.88235E-02    0.11884E+05
    0.90017E-02    0.11992E+05
    0.91836E-02    0.12098E+05
    0.93691E-02    0.12203E+05
    0.95583E-02    0.12306E+05
    0.97514E-02    0.12406E+05
    0.99484E-02    0.12505E+05
    0.10149E-01    0.12601E+05
    0.10354E-01    0.12695E+05
    0.10564E-01    0.12787E+05
    0.10777E-01    0.12876E+05
    0.10995E-01    0.12962E+05
    0.11217E-01    0.13046E+05
    0.11443E-01    0.13126E+05
    0.11675E-01    0.13203E+05
    0.11910E-01    0.13277E+05
    0.12151E-01    0.13348E+05
    0.12397E-01    0.13415E+05
    0.12647E-01    0.13478E+05
    0.12902E-01    0.13538E+05
    0.13163E-01    0.13593E+05
    0.13429E-01    0.13644E+05
    0.13700E-01    0.13691E+05
    0.13977E-01    0.13733E+05
    0.14259E-01    0.13771E+05
    0.14547E-01    0.13804E+05
    0.14841E-01    0.13832E+05
    0.15141E-01    0.13855E+05
    0.15447E-01    0.13873E+05
    0.15759E-01    0.13885E+05
    0.16077E-01    0.13892E+05
    0.16402E-01    0.13894E+05
    0.16734E-01    0.13889E+05
    0.17072E-01    0.13879E+05
    0.17416E-01    0.13863E+05
    0.17768E-01    0.13840E+05
    0.18127E-01    0.13812E+05
    0.18493E-01    0.13777E+05
    0.18867E-01    0.13736E+05
    0.19248E-01    0.13688E+05
    0.19637E-01    0.13634E+05
    0.20034E-01    0.13574E+05
    0.20438E-01    0.13507E+05
    0.20851E-01    0.13433E+05
    0.21272E-01    0.13353E+05
    0.21702E-01    0.13266E+05
    0.22141E-01    0.13172E+05
    0.22588E-01    0.13072E+05
    0.23044E-01    0.12966E+05
    0.23510E-01    0.12854E+05
    0.23985E-01    0.12735E+05
    0.24469E-01    0.12610E+05
    0.24964E-01    0.12479E+05
    0.25468E-01    0.12343E+05
    0.25982E-01    0.12201E+05
    0.26507E-01    0.12054E+05
    0.27043E-01    0.11902E+05
    0.27589E-01    0.11745E+05
    0.28146E-01    0.11584E+05
    0.28715E-01    0.11418E+05
    0.29295E-01    0.11249E+05
    0.29887E-01    0.11077E+05
    0.30490E-01    0.10902E+05
    0.31106E-01    0.10724E+05
    0.31735E-01    0.10544E+05
    0.32376E-01    0.10363E+05
    0.33030E-01    0.10180E+05
    0.33697E-01    0.99968E+04
    0.34378E-01    0.98134E+04
    0.35072E-01    0.96303E+04
    0.35781E-01    0.94479E+04
    0.36504E-01    0.92668E+04
    0.37241E-01    0.90875E+04
    0.37993E-01    0.89106E+04
    0.38761E-01    0.87366E+04
    0.39544E-01    0.85659E+04
    0.40343E-01    0.83988E+04
    0.41158E-01    0.82356E+04
    0.41989E-01    0.80764E+04
    0.42838E-01    0.79215E+04
    0.43703E-01    0.77710E+04
    0.44586E-01    0.76254E+04
    0.45486E-01    0.74853E+04
    0.46405E-01    0.73510E+04
    0.47343E-01    0.72231E+04
    0.48299E-01    0.71018E+04
    0.49275E-01    0.69866E+04
    0.50270E-01    0.68769E+04
    0.51286E-01    0.67722E+04
    0.52322E-01    0.66720E+04
    0.53379E-01    0.65759E+04
    0.54457E-01    0.64833E+04
